#New data source:
# https://www.whitehouse.gov/omb/budget/historical-tables/
# Still Table 10.1, Composite Outlet Deflators, Total Column
# (Fiscal year 2012 = 1.0, 2023-2028 are estimates)
# note a random date entry "TQ" that you may need to delete in the 1970s
#Old data source:
# https://www.govinfo.gov/content/pkg/BUDGET-2017-TAB/pdf/BUDGET-2017-TAB.pdf
# Table 10.1—GROSS DOMESTIC PRODUCT AND DEFLATORS USED IN THE HISTORICAL TABLES: 1940–2021
# (Fiscal Year 2009 = 1.000, 2016+ were estimates)
# Column: Composite Outlay Deflators, Other Grants
Year	Deflator
1940	0.0653
1941	0.0724
1942	0.0823
1943	0.0912
1944	0.0838
1945	0.0788
1946	0.0793
1947	0.0896
1948	0.0932
1949	0.0896
1950	0.0941
1951	0.0947
1952	0.0944
1953	0.1015
1954	0.1046
1955	0.1081
1956	0.1129
1957	0.1185
1958	0.1255
1959	0.1307
1960	0.1327
1961	0.1357
1962	0.1359
1963	0.1418
1964	0.1440
1965	0.1460
1966	0.1500
1967	0.1534
1968	0.1589
1969	0.1690
1970	0.1784
1971	0.1907
1972	0.2032
1973	0.2124
1974	0.2302
1975	0.2526
1976	0.2706
1977	0.2904
1978	0.3085
1979	0.3354
1980	0.3708
1981	0.4118
1982	0.4434
1983	0.4652
1984	0.4875
1985	0.5054
1986	0.5161
1987	0.5308
1988	0.5491
1989	0.5709
1990	0.5874
1991	0.6137
1992	0.6385
1993	0.6574
1994	0.6690
1995	0.6889
1996	0.7034
1997	0.7181
1998	0.7241
1999	0.7328
2000	0.7516
2001	0.7716
2002	0.7836
2003	0.8064
2004	0.8278
2005	0.8562
2006	0.8863
2007	0.9110
2008	0.9427
2009	0.9413
2010	0.9582
2011	0.9809
2012	1.0000
2013	1.0142
2014	1.0304
2015	1.0359
2016	1.0424
2017	1.0600
2018	1.0842
2019	1.1035
2020	1.1244
2021	1.1562
2022	1.2241
2023	1.2906
2024	1.3234
2025	1.3531
2026	1.3838
2027	1.4151
2028	1.4465
