acyear,Foreign,Government Agency,Industry,Large Academic,Other,Planetarium,Research Laboratory,Small Academic
2003,35.0,35.0,,436.0,47.0,5.0,53.0,72.0
2004,161.0,31.0,2.0,312.0,76.0,3.0,36.0,69.0
2005,186.0,44.0,1.0,254.0,81.0,2.0,36.0,68.0
2006,201.0,51.0,3.0,289.0,65.0,4.0,48.0,72.0
2007,244.0,63.0,10.0,293.0,94.0,3.0,76.0,83.0
2008,311.0,32.0,4.0,308.0,85.0,3.0,66.0,76.0
2009,320.0,30.0,5.0,234.0,64.0,2.0,69.0,49.0
2010,381.0,43.0,4.0,265.0,84.0,6.0,44.0,43.0
2011,150.0,35.0,6.0,398.0,125.0,4.0,53.0,51.0
2012,150.0,40.0,8.0,441.0,137.0,2.0,55.0,67.0
2013,141.0,44.0,6.0,406.0,119.0,1.0,68.0,41.0
2014,129.0,51.0,5.0,440.0,102.0,5.0,89.0,57.0
2015,141.0,51.0,5.0,459.0,166.0,3.0,75.0,62.0
2016,552.0,21.0,4.0,246.0,137.0,4.0,42.0,39.0
2017,651.0,38.0,7.0,276.0,124.0,3.0,54.0,47.0
2018,604.0,29.0,6.0,254.0,129.0,3.0,36.0,58.0
2019,616.0,32.0,17.0,307.0,129.0,1.0,50.0,53.0
2020,631.0,37.0,9.0,266.0,113.0,2.0,49.0,52.0
2021,727.0,44.0,16.0,370.0,122.0,2.0,71.0,95.0
2022,705.0,50.0,8.0,394.0,78.0,4.0,38.0,73.0
