,i,year,month,acyear,title,category,inst,instclass,url
0,0,2003,6,2003,Assistant Professor Observational Astrophysics - JRID20292,TT,University of Notre Dame,Large Academic,../job_view?JobID=20292
1,1,2009,9,2009,The Combined Array for Research in Millimeter-wave Astronomy Assistant Director for Operations - JRID34962,Science Management,"UC Berkeley, Radio Astronomy Laboratory",Large Academic,../job_view?JobID=34962
2,2,2003,6,2003,Postdoctoral Position in Gamma-Ray Astrophysics - JRID20298,PostV,"University of California, Los Angeles",Large Academic,../job_view?JobID=20298
3,3,2009,9,2009,Gemini Science Fellows OR Scientists - JRID34965,Other,AURA-Gemini Observatory,Other,../job_view?JobID=34965
4,4,2009,10,2009,Post-doctoral Positions in Astronomy and Astrophysics - JRID34968,Post-doctoral Positions and Fellowships,Inter-University Centre for Astronomy an,Government Agency,../job_view?JobID=34968
5,5,2011,4,2010,Savilian Professorship of Astronomy in association with New College - JRID39352,Faculty Positions (tenure and tenure-track),University Oxford,Large Academic,../job_view?JobID=39352
6,6,2007,10,2007,tenure track faculty positions - JRID30045,TT,"Institute of Astronomy, National Central",Foreign,../job_view?JobID=30045
7,7,2007,11,2007,Research Scientist - JRID30510,Rsrch,Vidiation LLC,Industry,../job_view?JobID=30510
8,8,2007,11,2007,Research Associate - Infrared Detector Development - JRID30516,PostV,University of Virginia,Large Academic,../job_view?JobID=30516
9,9,2007,10,2007,Star Formation Postdoctoral Fellowship - JRID30042,PostV,University of Florida,Large Academic,../job_view?JobID=30042
10,10,2007,11,2007,Postdoctoral Position in Extragalactic ISM Research - JRID30519,PostV,University of Illinois at Urbana-Champai,Large Academic,../job_view?JobID=30519
11,11,2007,10,2007,Software Manager and Developer: Gaia Data Flow System - JRID30048,RsrchSp,University of Leicester,Foreign,../job_view?JobID=30048
12,12,2011,10,2011,Postdoctoral position in weak lensing cosmology - JRID40258,Post-doctoral Positions and Fellowships,Carnegie Mellon University,Large Academic,../job_view?JobID=40258
13,13,2013,10,2013,"Tenure-Track Faculty Position Theoretical Astrophysics, University of California Santa Barbara - JRID45575",Faculty Positions (tenure and tenure-track),University of California Santa Barbara,Large Academic,../job_view?JobID=45575
