,i,year,month,acyear,title,category,inst,instclass,url,country
0,0,2020,10,2020,NAOJ Postdoctoral Researcher Stationed at Osaka University,Post-doctoral Positions and Fellowships,Osaka University,Foreign,/ad/c9248b30,Japan
1,1,2021,1,2020,Postdoctoral position in black hole astrophysics,Post-doctoral Positions and Fellowships,National Taiwan Normal University,Large Academic,/ad/1610dc32,Taiwan
2,2,2021,9,2021,Stanford - Santa Cruz Fellowship,Post-doctoral Positions and Fellowships,KIPAC,Large Academic,/ad/91188bae,United States of America
3,3,2021,9,2021,James Webb Space Telescope Postdoctoral Fellowships at NASA’s Goddard Space Flight Center,Post-doctoral Positions and Fellowships,NASA's Goddard Space Flight Center,Government Agency,/ad/7d3967bb,United States of America
4,4,2019,9,2019,Astronomer (Tenure Track) ,Faculty Positions (tenure and tenure-track),National Radio Astronomy Observatory,Research Laboratory,/ad/6ceb9366,United States of America
5,5,2020,11,2020,Postdoctoral Position in CMB Analysis and Pipeline Development,Post-doctoral Positions and Fellowships,University of Toronto,Large Academic,/ad/c8b52e7d,Canada
6,6,2021,6,2021,PhD fellowship in exoplanet imaging,Pre-doctoral/Graduate Positions,University of Liège,Large Academic,/ad/e0c38246,Belgium
7,7,2021,9,2021,Postdoctoral Associate ,Post-doctoral Positions and Fellowships,Massachusetts Institute of Technology,Large Academic,/ad/3480b869,United States of America
8,8,2021,1,2020,Software Engineer II ,Science Engineering,Space Telescope Science Institute,Government Agency,/ad/bf2fe249,United States of America
9,9,2022,5,2021,Visiting Assistant Professor in Physics (all fields),Faculty Positions (visiting and non-tenure),Case Western Reserve University,Large Academic,/ad/86c8024d,United States of America
10,10,2022,1,2021,Postdoctoral Research Assistant in Cosmology QMUL27694,Post-doctoral Positions and Fellowships,Queen Mary University of London,Large Academic,/ad/7724db21,United Kingdom of Great Britain and Northern Ireland
11,11,2020,10,2020,Postdoctoral Position in Theoretical Astrophysics,Post-doctoral Positions and Fellowships,University of Toledo,Large Academic,/ad/0202d3c3,United States of America
12,12,2022,3,2021,Hot Environments Laboratory Associate,Scientific/Technical Staff,University of MD Baltimore County/NASA/GSFC/CRESST II,Research Laboratory,/ad/16573daa,United States of America
13,13,2021,7,2021,Postdoctoral Research Assistant in machine learning and citizen science ,Post-doctoral Positions and Fellowships,University of Oxford,Large Academic,/ad/5fe9b309,United Kingdom of Great Britain and Northern Ireland
14,14,2019,10,2019,"NSF Supported Tenure-Track Assistant Professor in Solar Physics and Astro-informatics at Georgia State University, Atlanta.",Faculty Positions (tenure and tenure-track),Georgia State University,Large Academic,/ad/6ff0e9a4,United States of America
15,15,2022,6,2022,Senior Analyst - Her Majesty’s Nautical Almanac Office,Scientific/Technical Staff,UK Hydrographic Office,Government Agency,/ad/fb34676a,United Kingdom of Great Britain and Northern Ireland
16,16,2019,10,2019,SALT Astronomer,Scientific/Technical Staff,National Research Foundation - South African Astronomical Observatory,Small Academic,/ad/890b6ce5,South Africa
17,17,2019,7,2019,Senior Software Engineer,Other,AURA/LSST,Other,/ad/cf1944b0,Chile
18,18,2019,12,2019,TESS Postdoctoral Associate,Post-doctoral Positions and Fellowships,Massachusetts Institute of Technology,Large Academic,/ad/9e9094f0,United States of America
19,19,2019,6,2019,Three PhD fellowships in exoplanet imaging and machine learning,Pre-doctoral/Graduate Positions,University of Liège,Large Academic,/ad/914aeee5,Belgium
20,20,2020,6,2020,Two faculty positions at Universidad Andrés Bello (Chile),Faculty Positions (tenure and tenure-track),Universidad Andrés Bello,Large Academic,/ad/27447218,Chile
21,21,2022,1,2021, Postdoctoral research position in analysis of the Euclid weak lensing survey,Post-doctoral Positions and Fellowships,University of Oxford,Large Academic,/ad/c6243f2d,United Kingdom of Great Britain and Northern Ireland
22,22,2020,9,2020,Postdoctoral Research Scholar,Post-doctoral Positions and Fellowships,University of Iowa,Large Academic,/ad/687b1558,United States of America
23,23,2019,10,2019,Postdoctoral Researcher in Exoplanets,Post-doctoral Positions and Fellowships,Louisiana State University,Large Academic,/ad/1653625f,United States of America
24,24,2021,11,2021,Postdoctoral Researcher in High-Redshift Galaxies and Low-Redshift Analogs- # 0004366,Post-doctoral Positions and Fellowships,Space Telescope Science Institute,Large Academic,/ad/fc28f2a3,United States of America
25,25,2021,9,2021,Postdoctoral Research Scholar in Notre Dame Astrophysics Group,Post-doctoral Positions and Fellowships,University of Notre Dame,Small Academic,/ad/9d4c2479,United States of America
26,26,2021,11,2021,Astronomy and Astrophysics Prize Fellowship,Post-doctoral Positions and Fellowships,Iowa State University,Large Academic,/ad/a6e7ca3b,United States of America
27,27,2020,6,2020,Postdoctoral Associate (Atomic Data and X-Ray Spectroscopy),Post-doctoral Positions and Fellowships,University of Maryland,Large Academic,/ad/0be11969,United States of America
28,28,2022,2,2021,Laser Interferometry Engineer / Physicist ,Science Engineering,STFC,Research Laboratory,/ad/33d37a3f,United Kingdom of Great Britain and Northern Ireland
29,29,2020,5,2019,Systems Safety Engineer,Science Engineering,"TMT International Observatory, LLC",Other,/ad/21fcadae,United States of America
30,30,2019,10,2019,"Instructor/Lecturer (Non-Tenure Track), Department of Physics",Faculty Positions (visiting and non-tenure),University of North Florida (UNF),Government Agency,/ad/d504944a,United States of America
31,31,2021,9,2021,Postdoc in Observational Extragalactic Astronomy at Hiroshima University,Post-doctoral Positions and Fellowships,Hiroshima University,Foreign,/ad/2037c10d,Japan
32,32,2021,9,2021,NAOJ Postdoctoral Researcher Stationed at Nihon University,Post-doctoral Positions and Fellowships,Nihon University/NAOJ,Foreign,/ad/e761a2d2,Japan
33,33,2019,12,2019,Postdoctoral position in Observational Cosmology,Post-doctoral Positions and Fellowships,The University of Melbourne,Foreign,/ad/1c17251f,Australia
34,34,2019,9,2019,Tenure-Track Faculty Position in Theoretical Cosmology and Astroparticle Physics at NYU/CCA,Faculty Positions (tenure and tenure-track),Flatiron Institute at Simons Foundation,Other,/ad/8bff0e08,United States of America
35,35,2021,4,2020,Postdoctoral Positions in Astrophysics,Post-doctoral Positions and Fellowships,"Instituto de Astronomía, Universidad Nacional Autónoma de México",Large Academic,/ad/1a224bde,Mexico
36,36,2021,9,2021,Postdoctoral Fellowship - ALMA,Post-doctoral Positions and Fellowships,National Radio Astronomy Observatory,Research Laboratory,/ad/faed2065,Chile
37,37,2020,5,2019,Instrument scientist position in infrared interferometry and exoplanet science at ULiege,Post-doctoral Positions and Fellowships,University of Liège,Large Academic,/ad/d3b567ea,Belgium
38,38,2021,9,2021,Post-doctoral fellowship in Cosmology HUJI,Post-doctoral Positions and Fellowships,The Hebrew University of Jerusalem,Foreign,/ad/4693b1fb,Israel
39,39,2022,1,2021,PhD program at Laboratoire d'Astrophysique de Marseille (LAM),Pre-doctoral/Graduate Positions,CNRS / Laboratoire d'Astrophysique de Marseille,Research Laboratory,/ad/9fbc6d4c,France
40,40,2019,10,2019,Postdoctoral Researcher,Post-doctoral Positions and Fellowships,California Institute of Technology,Small Academic,/ad/77a481b0,United States of America
41,41,2022,3,2021,Post-doctoral offer for research on small bodies or planetasimals,Post-doctoral Positions and Fellowships,Macau University of Science and Technology,Foreign,/ad/12055aa2,China
42,42,2022,6,2022,Spatially-resolved extragalactic astronomy with GIRMOS and JWST,Post-doctoral Positions and Fellowships,Saint Mary's University,Foreign,/ad/5a309212,Canada
43,43,2019,9,2019,Postdoctoral position: Galactic science with CHIME,Post-doctoral Positions and Fellowships,University of British Columbia,Large Academic,/ad/08fec985,Canada
44,44,2021,7,2021,Program Manager,Science Management,Smithsonian Astrophysical Observatory,Government Agency,/ad/643aec7e,United States of America
45,45,2020,1,2019,Postdoctoral Position in Galaxy Formation and Evolution,Post-doctoral Positions and Fellowships,Chalmers University of Technology,Large Academic,/ad/d82a1fef,Sweden
46,46,2022,2,2021,ERC-funded postdoc position on Instrument Control Software &amp; Data Analysis,Post-doctoral Positions and Fellowships,University of Exeter,Large Academic,/ad/32da3e06,United Kingdom of Great Britain and Northern Ireland
47,47,2022,2,2021,Senior Research Engineer - Digital Infrastructure Development – Swedish SKA Regional Centre node,Science Engineering,Chalmers University of Technology,Foreign,/ad/450be947,Sweden
48,48,2019,8,2019,Postdoctoral position in Cosmology,Post-doctoral Positions and Fellowships,Ben-Gurion University,Large Academic,/ad/1249ca22,Israel
49,49,2021,12,2021,Postdoctoral Researcher with instrumentation and software skills for high resolution spectrograph,Post-doctoral Positions and Fellowships,University of Hertfordshire,Foreign,/ad/597b8b6c,United Kingdom of Great Britain and Northern Ireland
50,50,2019,9,2019,"Flatiron Research Fellow, Center for Computational Astrophysics",Post-doctoral Positions and Fellowships,Flatiron Institute at Simons Foundation,Other,/ad/cba4e077,United States of America
51,51,2022,7,2022,MUSE Research Associate,Pre-doctoral/Graduate Positions,Bay Area Environmental Research Institute,Other,/ad/aac22ef6,United States of America
52,52,2021,5,2020,Postdoctoral Research Fellow in Radio Astronomy and Space Science,Post-doctoral Positions and Fellowships,UAE University,Large Academic,/ad/2bde5065,United Arab Emirates
53,53,2019,9,2019,Joint Rutgers/Flatiron Postdoctoral Research Associate,Post-doctoral Positions and Fellowships,"Rutgers, The State University",Large Academic,/ad/4fc2fb2e,United States of America
54,54,2019,9,2019,HET Science Operations Manager,Science Management,The University of Texas at Austin,Large Academic,/ad/7c116db0,United States of America
55,55,2019,9,2019,(211-0097/19-2E) Associate Professor in Extragalactic Astrophysics,Faculty Positions (tenure and tenure-track),University of Copenhagen,Large Academic,/ad/020437d9,Denmark
56,56,2020,9,2020,Subaru Support Astronomer – ID# 220406,Scientific/Technical Staff,National Astronomical Observatory of Japan,Other,/ad/da758221,United States of America
57,57,2021,2,2020,2 Postdoctoral and 1 PhD position,Post-doctoral Positions and Fellowships,Radboud University,Large Academic,/ad/4c537026,Netherlands
58,58,2021,4,2020,Postdoctoral Fellow – AEThER program,Post-doctoral Positions and Fellowships,Carnegie Institution for Science,Research Laboratory,/ad/168b18ad,United States of America
59,59,2020,2,2019,Faculty position(s) in astronomy,Faculty Positions (tenure and tenure-track),Leiden University,Large Academic,/ad/a54dafed,Netherlands
60,60,2019,9,2019,ESO Studentship Programme Europe/Chile (2019/2020),Pre-doctoral/Graduate Positions,European Southern Observatory (ESO),Other,/ad/f41886d3,Germany
61,61,2021,10,2021,Astrophysicist (Post-Doctoral Research Fellow),Post-doctoral Positions and Fellowships,Smithsonian Astrophysical Observatory,Government Agency,/ad/c0d67d11,United States of America
62,62,2021,1,2020,Astrophysicist (Post-doctoral Research Fellow in Astrostatistics),Post-doctoral Positions and Fellowships,Smithsonian Astrophysical Observatory,Government Agency,/ad/a96acabc,United States of America
63,63,2021,8,2021,Exoplanet Science &amp; Giacconi Fellowships #0002510,Post-doctoral Positions and Fellowships,Space Telescope Science Instit,Other,/ad/240147f4,United States of America
64,64,2022,6,2022,Chief Telescope Technologist ,Science Engineering,New Mexico State University/Apache Point Observatory,Large Academic,/ad/91cc4d56,United States of America
65,65,2021,7,2021,Education Specialist (Kindergarten/Elementary School),Scientific/Technical Staff,European Southern Observatory,Planetarium,/ad/e2c31c43,Germany
66,66,2020,3,2019,Postdoctoral researcher at the Finnish Centre for Astronomy with ESO,Post-doctoral Positions and Fellowships,University of Turku,Foreign,/ad/be69410e,Finland
67,67,2020,12,2020,Postdoctoral Researcher in Extragalactic Astrophysics: high-z/EoR focus ,Post-doctoral Positions and Fellowships,Stockholm University,Large Academic,/ad/3201a64f,Sweden
68,68,2021,10,2021,Astronomer/Project Scientist,Science Engineering,European Southern Observatory (ESO),Other,/ad/5c7bed0b,Germany
69,69,2020,11,2020,Research scientist in gravitational-wave research,Scientific/Technical Staff,Massachusetts Institute of Technology,Large Academic,/ad/7ba52f9f,United States of America
70,70,2020,11,2020,Assistant Professor - Astronomy/Physics,Faculty Positions (tenure and tenure-track),Valdosta State University,Large Academic,/ad/a44148f9,United States of America
71,71,2021,2,2020,Chaire d’Excellence in Observational Cosmology at Aix-Marseille University,Faculty Positions (tenure and tenure-track),Aix-Marseille University / Centre de Physique des Particules de Marseille,Large Academic,/ad/e5f66b00,France
72,72,2021,10,2021,PhD position in Radio Astronomy,Pre-doctoral/Graduate Positions,"ASTRON, the Netherlands institute for Radio Astronomy",Research Laboratory,/ad/e9972a03,Netherlands
73,73,2020,1,2019,Full Professorship (W3) for Astrophysics,Faculty Positions (visiting and non-tenure),Thüringer Landessternwarte / Friedrich Schiller University,Large Academic,/ad/c9bbf641,Germany
