,i,year,month,acyear,title,category,inst,instclass,url,country,postalcode
0,0,2021,2,2020,Post-doctoral position on X-ray source detection,Post-doctoral Positions and Fellowships,CEA Saclay,Foreign,/ad/777c3e11,France,91191
1,1,2023,4,2022,Assistant Professor of Very Long Baseline Radio Interferometry,Faculty Positions (tenure and tenure-track),Radboud University,Large Academic,/ad/9b3d5123,Netherlands,
2,2,2020,12,2020,Public Engagement and Outreach Fellow,Post-doctoral Positions and Fellowships,University of Portsmouth,Large Academic,/ad/eba24a2a,United Kingdom of Great Britain and Northern Ireland,
3,3,2021,11,2021,Junior Postdoctoral Fellowships at the Institute of Space Sciences.,Post-doctoral Positions and Fellowships,Institute of Space Sciences,Government Agency,/ad/68ff834a,Spain,
4,4,2022,1,2021,Postdoctoral Scholar-Planetary Science-CIPS,Post-doctoral Positions and Fellowships,University of California Berkeley,Large Academic,/ad/59f77010,United States of America,94720
5,5,2019,12,2019,Research Associate in Theoretical Astrophysics,Post-doctoral Positions and Fellowships,University of Leicester,Large Academic,/ad/9163010e,United Kingdom of Great Britain and Northern Ireland,LE1 7RH
6,6,2019,11,2019, Research Associate in Cosmology,Post-doctoral Positions and Fellowships,Cardiff University,Large Academic,/ad/8c92de87,United Kingdom of Great Britain and Northern Ireland,CF24 3AA
7,7,2020,12,2020,"Assistant, Associate and Full Professorships",Faculty Positions (tenure and tenure-track),Guangdong Technion Israel Institute of Technology,Large Academic,/ad/e8afc451,China,
8,8,2019,10,2019,Postdoctoral Fellowship in Time Domain Astronomy,Post-doctoral Positions and Fellowships,California Institute of Technology,Small Academic,/ad/2c48933a,United States of America,91125
9,9,2020,8,2020,Software Engineer ,Other,AURA,Other,/ad/e437f7fe,United States of America,
10,10,2020,9,2020,Postdoctoral Fellowships Available in Multi-messenger Astrophysics at RIT,Post-doctoral Positions and Fellowships,Rochester Institute of Technology,Large Academic,/ad/7f61e5ff,United States of America,14623
11,11,2021,8,2021,Non-Tenure-Track Assistant Professor of Astronomy,Faculty Positions (visiting and non-tenure),Embry-Riddle Aeronautical University,Small Academic,/ad/a7e36e27,United States of America,32114
12,12,2021,5,2020,Postdoctoral Position,Post-doctoral Positions and Fellowships,Max Planck Institute for Extraterrestrial Physics,Foreign,/ad/7198ed12,Germany,85748
13,13,2021,8,2021,Data System Operator,Science Engineering,Caltech/IPAC,Small Academic,/ad/60d17965,United States of America,
14,14,2021,11,2021,Research Associate,Post-doctoral Positions and Fellowships,Curtin University,Large Academic,/ad/fdb86744,Australia,
15,15,2020,10,2020,Plaskett Fellowship (Research Associate),Post-doctoral Positions and Fellowships,National Research Council of Canada (NRC),Government Agency,/ad/a12526fa,Canada,V9E 2E7
16,16,2020,1,2019,Research Scientist in galaxy evolution studies through (sub)millimeter observations,Post-doctoral Positions and Fellowships,Bonn University,Foreign,/ad/d3408a08,Germany,53121
17,17,2022,9,2022,Postdoctoral position in Planet Formation Theory,Post-doctoral Positions and Fellowships,Max Planck Institute for Solar System Research,Large Academic,/ad/3823c75c,Germany,37077
18,18,2022,11,2022,Postdoctoral Position in Protoplanetary Disks and Planet Formation,Post-doctoral Positions and Fellowships,University of Florida,Large Academic,/ad/f59a986f,United States of America,32611
19,19,2022,2,2021,Head of Science Operations at Gemini South,Science Management,AURA/Gemini Observatory,Other,/ad/4429600c,Chile,
20,20,2020,11,2020,Astrophysics Research Associate 6 in Data Science for Machine Learning and Citizen Science  ,Post-doctoral Positions and Fellowships,University of Minnesota,Large Academic,/ad/e69a5001,United States of America,55455
21,21,2021,3,2020,Data Analyst,Other,AURA/CSDC,Other,/ad/2e1462d0,United States of America,
